world_id,scene_id,object_id_a,object_id_b,_object_name_a,_object_name_b,ground_truth_relation
world1_baseline,world1_baseline__v2,9,10,obj_notebook,obj_remote,Support
world1_baseline,world1_baseline__v2,3,4,obj_bowl,obj_apple,Contact
world1_baseline,world1_baseline__v2,1,2,obj_bottle,obj_mug,Separate
world1_baseline,world1_baseline__v2,8,12,obj_cereal_box,obj_banana,Contact
world1_baseline,world1_baseline__v2,8,11,obj_cereal_box,obj_toy_block,Separate
world1_baseline,world1_baseline__v3,3,4,obj_bowl,obj_apple,Contact
world1_baseline,world1_baseline__v3,3,7,obj_bowl,obj_tissue_box,Separate
world1_baseline,world1_baseline__v3,5,8,obj_spoon,obj_cereal_box,Separate
world1_baseline,world1_baseline__v3,9,10,obj_notebook,obj_remote,Support
world1_baseline,world1_baseline__v3,8,12,obj_cereal_box,obj_banana,Contact
world1_baseline,world1_baseline__v4,9,10,obj_notebook,obj_remote,Support
world1_baseline,world1_baseline__v4,8,12,obj_cereal_box,obj_banana,Contact
world1_baseline,world1_baseline__v4,1,2,obj_bottle,obj_mug,Separate
world1_baseline,world1_baseline__v4,3,4,obj_bowl,obj_apple,Contact
world1_baseline,world1_baseline__v4,4,5,obj_apple,obj_spoon,Separate
world1_baseline,world1_baseline__v5,7,10,obj_tissue_box,obj_remote,Separate
world1_baseline,world1_baseline__v5,9,10,obj_notebook,obj_remote,Support
world1_baseline,world1_baseline__v5,3,7,obj_bowl,obj_tissue_box,Separate
world1_baseline,world1_baseline__v5,7,9,obj_tissue_box,obj_notebook,Separate
world1_baseline,world1_baseline__v5,3,4,obj_bowl,obj_apple,Contact
world1_baseline,world1_baseline__v6,3,4,obj_bowl,obj_apple,Contact
world1_baseline,world1_baseline__v6,1,2,obj_bottle,obj_mug,Separate
world1_baseline,world1_baseline__v6,8,12,obj_cereal_box,obj_banana,Contact
world1_baseline,world1_baseline__v6,9,10,obj_notebook,obj_remote,Support
world1_baseline,world1_baseline,9,10,obj_notebook,obj_remote,Support
world1_baseline,world1_baseline,1,2,obj_bottle,obj_mug,Separate
world1_baseline,world1_baseline,3,4,obj_bowl,obj_apple,Contact
world1_baseline,world1_baseline,8,12,obj_cereal_box,obj_banana,Contact
world2_dense_clutter,world2_dense_clutter__v2,10,11,obj_plate,obj_spoon,Separate
world2_dense_clutter,world2_dense_clutter__v2,13,14,obj_kettle,obj_cup,Separate
world2_dense_clutter,world2_dense_clutter__v2,4,8,obj_jar,obj_apple,Separate
world2_dense_clutter,world2_dense_clutter__v2,7,8,obj_bowl,obj_apple,Contact
world2_dense_clutter,world2_dense_clutter__v2,7,9,obj_bowl,obj_tomato,Contact
world2_dense_clutter,world2_dense_clutter__v3,1,3,obj_bottle,obj_tissue_box,Separate
world2_dense_clutter,world2_dense_clutter__v3,2,7,obj_mug,obj_bowl,Separate
world2_dense_clutter,world2_dense_clutter__v3,5,6,obj_cereal_box,obj_banana,Contact
world2_dense_clutter,world2_dense_clutter__v3,7,9,obj_bowl,obj_tomato,Contact
world2_dense_clutter,world2_dense_clutter__v3,10,11,obj_plate,obj_spoon,Separate
world2_dense_clutter,world2_dense_clutter__v4,13,14,obj_kettle,obj_cup,Separate
world2_dense_clutter,world2_dense_clutter__v4,7,8,obj_bowl,obj_apple,Contact
world2_dense_clutter,world2_dense_clutter__v4,11,12,obj_spoon,obj_fork,Separate
world2_dense_clutter,world2_dense_clutter__v4,4,8,obj_jar,obj_apple,Separate
world2_dense_clutter,world2_dense_clutter__v4,7,9,obj_bowl,obj_tomato,Contact
world2_dense_clutter,world2_dense_clutter__v5,2,15,obj_mug,obj_chopping_board,Separate
world2_dense_clutter,world2_dense_clutter__v5,15,16,obj_chopping_board,obj_knife,Support
world2_dense_clutter,world2_dense_clutter__v5,4,6,obj_jar,obj_banana,Separate
world2_dense_clutter,world2_dense_clutter__v5,5,13,obj_cereal_box,obj_kettle,Separate
world2_dense_clutter,world2_dense_clutter__v5,1,12,obj_bottle,obj_fork,Separate
world2_dense_clutter,world2_dense_clutter__v6,7,8,obj_bowl,obj_apple,Contact
world2_dense_clutter,world2_dense_clutter__v6,10,11,obj_plate,obj_spoon,Separate
world2_dense_clutter,world2_dense_clutter__v6,15,16,obj_chopping_board,obj_knife,Support
world2_dense_clutter,world2_dense_clutter,4,5,obj_jar,obj_cereal_box,Separate
world2_dense_clutter,world2_dense_clutter,13,14,obj_kettle,obj_cup,Separate
world2_dense_clutter,world2_dense_clutter,10,11,obj_plate,obj_spoon,Separate
