world_id,object_a,object_b,contact,num_contact_points
world2_dense_clutter,obj_apple,obj_banana,0,0
world2_dense_clutter,obj_apple,obj_bottle,0,0
world2_dense_clutter,obj_apple,obj_bowl,1,1
world2_dense_clutter,obj_apple,obj_cereal_box,0,0
world2_dense_clutter,obj_apple,obj_chopping_board,0,0
world2_dense_clutter,obj_apple,obj_cup,0,0
world2_dense_clutter,obj_apple,obj_fork,0,0
world2_dense_clutter,obj_apple,obj_jar,0,0
world2_dense_clutter,obj_apple,obj_kettle,0,0
world2_dense_clutter,obj_apple,obj_knife,0,0
world2_dense_clutter,obj_apple,obj_mug,0,0
world2_dense_clutter,obj_apple,obj_plate,0,0
world2_dense_clutter,obj_apple,obj_spoon,0,0
world2_dense_clutter,obj_apple,obj_tissue_box,0,0
world2_dense_clutter,obj_apple,obj_tomato,0,0
world2_dense_clutter,obj_banana,obj_bottle,0,0
world2_dense_clutter,obj_banana,obj_bowl,0,0
world2_dense_clutter,obj_banana,obj_cereal_box,0,0
world2_dense_clutter,obj_banana,obj_chopping_board,0,0
world2_dense_clutter,obj_banana,obj_cup,0,0
world2_dense_clutter,obj_banana,obj_fork,0,0
world2_dense_clutter,obj_banana,obj_jar,0,0
world2_dense_clutter,obj_banana,obj_kettle,0,0
world2_dense_clutter,obj_banana,obj_knife,0,0
world2_dense_clutter,obj_banana,obj_mug,0,0
world2_dense_clutter,obj_banana,obj_plate,0,0
world2_dense_clutter,obj_banana,obj_spoon,0,0
world2_dense_clutter,obj_banana,obj_tissue_box,0,0
world2_dense_clutter,obj_banana,obj_tomato,0,0
world2_dense_clutter,obj_bottle,obj_bowl,0,0
world2_dense_clutter,obj_bottle,obj_cereal_box,0,0
world2_dense_clutter,obj_bottle,obj_chopping_board,0,0
world2_dense_clutter,obj_bottle,obj_cup,0,0
world2_dense_clutter,obj_bottle,obj_fork,0,0
world2_dense_clutter,obj_bottle,obj_jar,0,0
world2_dense_clutter,obj_bottle,obj_kettle,0,0
world2_dense_clutter,obj_bottle,obj_knife,0,0
world2_dense_clutter,obj_bottle,obj_mug,0,0
